Name;Ploidity;Species;Location;HPS;Size_mkm;Size_unconv
17K_044;2n;P. esculentus;Koryakiv yar;R-E-Ep;13;0,52
17K_044;2n;P. esculentus;Koryakiv yar;R-E-Ep;19,25;0,77
17K_044;2n;P. esculentus;Koryakiv yar;R-E-Ep;10;0,4
17K_044;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_044;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,25;0,37
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;9;0,36
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;12;0,48
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,5;0,42
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,75;0,55
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;6,25;0,25
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;13;0,52
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;7,5;0,3
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;8,5;0,34
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;11;0,44
17K_011;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,25;0,49
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,5;0,38
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;15,75;0,63
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;22;0,88
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;20;0,8
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;14,75;0,59
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;15,25;0,61
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;17,5;0,7
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;15,75;0,63
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;23,25;0,93
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;12;0,48
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;14,5;0,58
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;12;0,48
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,75;0,55
17K_054;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,25;0,49
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,5;0,38
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,75;0,39
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;10;0,4
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,5;0,46
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,5;0,46
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;10;0,4
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,75;0,51
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,5;0,46
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;16,5;0,66
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,75;0,47
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,25;0,49
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,25;0,41
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,25;0,49
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;14;0,56
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;15,25;0,61
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;14,5;0,58
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11;0,44
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,5;0,46
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11;0,44
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,25;0,53
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,25;0,45
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,5;0,5
17K_075;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,75;0,55
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,5;0,42
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,5;0,42
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,25;0,37
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,25;0,41
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;9,5;0,38
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;12;0,48
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,5;0,42
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,5;0,42
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,75;0,55
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,75;0,47
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;10,75;0,43
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,25;0,45
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,75;0,51
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;12,75;0,51
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;13,5;0,54
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;16,5;0,66
17K_139;2n;P. esculentus;Koryakiv yar;R-E-Ep;11,5;0,46
